,Average Rank,Film,Year,Rotten Tomatoes' Top 100,IMDb's Top 250,Empire's Top 100,AFI's Top 100,BFI's Top 100
0,1,The Godfather,1972,17,2,3,2,"21
"
1,2,Citizen Kane,1941,2,93,40,1,"2
"
2,3,Casablanca,1942,8,42,33,3,"84
"
3,4,"The Godfather, Part II",1974,99,4,14,32,"31
"
4,5,Singin' in the Rain,1952,52,85,67,5,"20
"
5,6,Psycho,1960,88,32,81,14,"35
"
6,7,Rear Window,1954,47,49,72,48,"53
"
7,8,Apocalypse Now,1979,unranked,55,29,30,"14
"
8,9,2001: A Space Odyssey,1968,unranked,89,23,15,"6
"
9,10,Seven Samurai,1954,49,20,65,unranked,"17
"
10,11,Vertigo,1958,unranked,99,50,9,"1
"
11,12,Sunset Blvd,1950,21,60,unranked,16,"63
"
12,13,Modern Times,1936,4,45,unranked,78,"63
"
13,14,Lawrence of Arabia,1962,unranked,95,62,7,"81
"
14,15,North by Northwest,1959,79,98,unranked,55,"53
"
15,16,Star Wars,1977,unranked,27,11,13,"unranked
"
16,17,Parasite,2019,6,35,18,unranked,"unranked
"
17,18,Schindler's List,1993,unranked,6,46,8,"unranked
"
18,19,Lord of the Rings: The Fellowship of the Ring,2001,unranked,9,1,50,"unranked
"
19,20,Shawshank Redemption,1994,unranked,1,5,72,"unranked
"
20,21,It's a Wonderful Life,1946,unranked,21,44,20,"unranked
"
21,22,Pulp Fiction,1994,unranked,8,7,94,"unranked
"
22,23,Avengers: Endgame,2019,7,81,22,unranked,"unranked
"
23,24,City Lights,1931,unranked,51,unranked,11,"50
"
24,25,One Flew Over the Cuckoo's Nest,1975,unranked,18,66,33,"unranked
"
25,26,Goodfellas,1990,unranked,17,10,92,"unranked
"
26,27,Raiders of the Lost Ark,1981,unranked,56,9,66,"unranked
"
27,28,12 Angry Men,1957,unranked,5,42,87,"unranked
"
28,29,The Silence of the Lambs,1991,unranked,22,41,74,"unranked
"
29,30,Taxi Driver,1976,unranked,unranked,55,52,"31
"
30,31,Saving Private Ryan,1998,unranked,24,54,71,"unranked
"
31,32,E.T. the Extra Terrestrial,1982,48,unranked,79,24,"unranked
"
32,33,Alien,1979,84,50,21,unranked,"unranked
"
33,34,Spider-Man: Into the Spider-verse,2018,19,70,70,unranked,"unranked
"
34,35,Blade Runner,1982,unranked,unranked,16,97,"69
"
35,36,Double Indemnity,1944,54,100,unranked,29,"unranked
"
36,37,The Dark Knight,2008,unranked,3,4,unranked,"unranked
"
37,38,The Wizard of Oz,1939,3,unranked,unranked,10,"unranked
"
38,39,Star Wars: Episode V- The Empire Strikes Back,1980,unranked,15,2,unranked,"unranked
"
39,40,The Searchers,1956,unranked,unranked,unranked,12,"7
"
40,41,Mad Max: Fury Road,2015,18,unranked,12,unranked,"unranked
"
41,42,Inception,2010,unranked,13,19,unranked,"unranked
"
42,43,Lord of the Rings: Return of the King,2003,unranked,7,27,unranked,"unranked
"
43,44,The Matrix,1999,unranked,16,20,unranked,"unranked
"
44,45,Fight Club,1999,unranked,12,25,unranked,"unranked
"
45,46,Back to the Future,1985,unranked,30,13,unranked,"unranked
"
46,47,It Happened One Night,1934,1,unranked,unranked,46,"unranked
"
47,48,"The Good, the Bad, and the Ugly",1966,unranked,10,38,unranked,"unranked
"
48,49,Lord of the Rings: The Two Towers,2002,unranked,14,34,unranked,"unranked
"
